16,643,589,44
16,845,594,40
16,704,595,39
18,681,594,61
18,823,554,45
18,846,543,44
20,369,518,44
32,801,489,98
20,715,505,49
16,451,493,41
24,822,477,63
20,817,453,45
14,663,447,36
24,828,436,77
36,782,436,111
12,618,427,30
22,947,428,58
18,790,411,45
30,677,405,100
16,728,383,44
18,503,386,50
26,748,380,91
18,899,373,44
12,881,376,28
12,733,366,34
20,774,351,44
36,514,357,103
14,972,335,35
18,984,314,45
16,822,318,42
22,597,313,67
16,766,305,40
60,576,294,230
30,658,284,118
22,389,264,48
12,450,255,31
32,697,259,99
38,854,257,140
22,847,239,66
14,437,247,36
20,641,239,66
38,500,251,109
14,402,242,38
16,674,137,44
18,657,106,53
12,642,75,31
30,665,53,99
